"id","displaypath","source","status","grouping","parent_grouping","description","top_5","downtime_calc"
1,"1DOO301.Key_ok",prov:default:/tag:L2/Monorail/1DOO301/Key_ok:/alm:Key_ok,Maintenance,Trolley_Loop_1,Trolley_System,Check Door Key,Y, 
2,"1DOO301.Open_Sts",prov:default:/tag:L2/Monorail/1DOO301/Open_Sts:/alm:Open,Maintenance,Trolley_Loop_1,Trolley_System,Door Open - Check and Close Door ,Y, 
3,"1DOO301.Req_Enter",prov:default:/tag:L2/Monorail/1DOO301/Req_Enter:/alm:Alarm,Maintenance,Trolley_Loop_1,Trolley_System,Requested to Enter Door,Y, 
4,"1DOO302.EStop_Sts",prov:default:/tag:L2/Monorail/1DOO302/EStop_Sts:/alm:EStop_Alm,Maintenance,Trolley_Loop_1,Trolley_System,Door EStopped - Check  and Reset Door,Y, 
5,"1DOO302.Key_ok",prov:default:/tag:L2/Monorail/1DOO302/Key_ok:/alm:Key_ok,Maintenance,Trolley_Loop_1,Trolley_System,Check Door Key,Y, 
6,"1DOO302.Open_Sts",prov:default:/tag:L2/Monorail/1DOO302/Open_Sts:/alm:Open,Maintenance,Trolley_Loop_1,Trolley_System,Door Open - Check and Close Door ,Y, 
7,"1DOO302.Req_Enter",prov:default:/tag:L2/Monorail/1DOO302/Req_Enter:/alm:Alarm,Maintenance,Trolley_Loop_1,Trolley_System,Requested to Enter Door,Y, 
8,"2DOO303.EStop_Sts",prov:default:/tag:L2/Monorail/2DOO303/EStop_Sts:/alm:EStop_Alm,Maintenance,Trolley_Loop_2,Trolley_System,Door EStopped - Check  and Reset Door,Y, 
9,"2DOO303.Key_ok",prov:default:/tag:L2/Monorail/2DOO303/Key_ok:/alm:Key_ok,Maintenance,Trolley_Loop_2,Trolley_System,Check Door Key,Y, 
10,"2DOO303.Open_Sts",prov:default:/tag:L2/Monorail/2DOO303/Open_Sts:/alm:Open,Maintenance,Trolley_Loop_2,Trolley_System,Door Open - Check and Close Door ,Y, 
11,"2DOO303.Req_Enter",prov:default:/tag:L2/Monorail/2DOO303/Req_Enter:/alm:Alarm,Maintenance,Trolley_Loop_2,Trolley_System,Requested to Enter Door,Y, 
12,"2DOO304.EStop_Sts",prov:default:/tag:L2/Monorail/2DOO304/EStop_Sts:/alm:EStop_Alm,Maintenance,Trolley_Loop_2,Trolley_System,Door EStopped - Check  and Reset Door,Y, 
13,"2DOO304.Key_ok",prov:default:/tag:L2/Monorail/2DOO304/Key_ok:/alm:Key_ok,Maintenance,Trolley_Loop_2,Trolley_System,Check Door Key,Y, 
14,"2DOO304.Open_Sts",prov:default:/tag:L2/Monorail/2DOO304/Open_Sts:/alm:Open,Maintenance,Trolley_Loop_2,Trolley_System,Door Open - Check and Close Door ,Y, 
15,"2DOO304.Req_Enter",prov:default:/tag:L2/Monorail/2DOO304/Req_Enter:/alm:Alarm,Maintenance,Trolley_Loop_2,Trolley_System,Requested to Enter Door,Y, 
16,"2DOO305.EStop_Sts",prov:default:/tag:L2/Monorail/2DOO305/EStop_Sts:/alm:EStop_Alm,Maintenance,Trolley_Loop_2,Trolley_System,Door EStopped - Check  and Reset Door,Y, 
17,"2DOO305.Key_ok",prov:default:/tag:L2/Monorail/2DOO305/Key_ok:/alm:Key_ok,Maintenance,Trolley_Loop_2,Trolley_System,Check Door Key,Y, 
18,"2DOO305.Open_Sts",prov:default:/tag:L2/Monorail/2DOO305/Open_Sts:/alm:Open,Maintenance,Trolley_Loop_2,Trolley_System,Door Open - Check and Close Door ,Y, 
19,"2DOO305.Req_Enter",prov:default:/tag:L2/Monorail/2DOO305/Req_Enter:/alm:Alarm,Maintenance,Trolley_Loop_2,Trolley_System,Requested to Enter Door,Y, 
20,Alarm 001.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 1/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"001: System is stopped. Press START",Y,Y
21,Alarm 001.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 1/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"001: System is stopped. Press START",Y,Y
22,Alarm 002.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 2/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"002: Zone 01 is stopped",Y,Y
23,Alarm 002.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 2/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"002: Zone 01 is stopped",Y,Y
24,Alarm 003.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 3/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"003: Zone 02 is stopped",Y,Y
25,Alarm 003.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 3/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"003: Zone 02 is stopped",Y,Y
26,Alarm 004.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 4/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"004: Zone 03 is stopped",Y,Y
